src	tgt	voc	tok	model	bleu	low_conf_bleu	high_conf_bleu	chrf	low_conf_chrf	high_conf_chrf	chrf++	low_conf_chrf++	high_conf_chrf++	comet	low_conf_comet	high_conf_comet	norm_comet	enc_layers	dec_layers	embs	ffw	params	xPIES	PIES	REVx	REV	efficiency_score	enc/dec ratio	embs/ffw ratio	size_tag	layer sum	layer diff	embs/num_layers	embs/enc	embs/dec	lines	toks	toks/line	ffw/enc	ffw/dec
eng	akk	4000	bpe.nof	2_8_256_512_2	25.76395781	25.5539921	25.97392352	26.40358092	26.23947481	26.56768703	23.34729506	23.20177835	23.49281178	0.9240783133	0.9233796709	0.9247769557	92.44076537	2	8	256	512	9428480	17300233.02	0.3570909578	0.4599652427	0.6779311001	-12.50179535	0.250	0.500	small	10	-6	25.600	128.000	32.000	45270	630535	13.92831898	256.000	64.000
eng	mni	4000	bpe.nof	12_2_256_512_2	14.79096069	14.66150581	14.92041558	39.85479353	39.72907903	39.98050804	36.33520129	36.20840686	36.46199572	0.6802095358	0.6796318904	0.6807871812	68.00631059	12	2	256	512	9954816	3.154491834	0.2497771314	0.7591025528	0.847573753	-4.395786367	6.000	0.500	small	14	10	18.286	21.333	128.000	21688	715548	32.99280708	42.667	256.000
eng_wiki	ita_wiki	4000	bpe.nof	12_2_256_512_2	13.02059258	12.97123771	13.06994746	44.1462469	44.08910124	44.20339256	40.97961526	40.92428976	41.03494076	0.5858596864	0.5849875639	0.5867318089	58.56236862	12	2	256	512	9954816	2.847843918	0.2254963151	0.9140620766	0.9300688922	-0.7316065533	6.000	0.500	small	14	10	18.286	21.333	128.000	50000	1723391	34.46782	42.667	256.000
eng	akk	4000	bpe.nof	4_8_256_256_2	25.09292663	24.89412462	25.29172864	24.73732968	24.57904751	24.89561186	21.99534101	21.85548994	22.13519209	0.9254198951	0.9247531735	0.9260866168	92.55697972	4	8	256	256	8906752	15950059.64	0.3600530904	0.4273929085	0.6723538065	-14.99652703	0.500	1.000	small	12	-4	21.333	64.000	32.000	45270	630535	13.92831898	64.000	32.000
deu	dsb	4000	bpe.nof	12_2_256_512_2	27.5329281	27.42061316	27.64524304	42.03852967	41.92004485	42.15701449	41.682426	41.56797954	41.79687245	0.6128470408	0.6120975504	0.6135965313	61.26152309	12	2	256	512	9954816	2.990628401	0.2368021926	0.9041525159	0.9250136063	-0.9179042386	6.000	0.500	small	14	10	18.286	21.333	128.000	40195	1032701	25.69227516	42.667	256.000
eng	mni	4000	bpe.nof	16_2_256_256_2	12.51279324	12.3963748	12.62921168	35.99591353	35.87050258	36.12132447	32.66033188	32.53524249	32.78542127	0.6618122264	0.6612179982	0.6624064547	66.15681195	16	2	256	256	9699328	3.465527057	0.2694563646	0.6355318429	0.7856728155	-8.259642445	8.000	1.000	small	18	14	14.222	16.000	128.000	21688	715548	32.99280708	16.000	128.000
eng_wiki	ita_wiki	4000	bpe.nof	16_2_256_256_2	11.92046479	11.87294286	11.96798673	42.50399784	42.44428339	42.56371229	39.27343252	39.21516521	39.33169983	0.5578015382	0.5568785746	0.5587245017	55.76749658	16	2	256	256	9699328	2.934895977	0.2281980165	0.8696395205	0.9190575412	-2.345967534	8.000	1.000	small	18	14	14.222	16.000	128.000	50000	1723391	34.46782	16.000	128.000
eng	mni	4000	bpe.nof	6_4_512_2048_2	20.60985133	20.45953186	20.76017081	47.66009348	47.53167343	47.78851352	43.9589047	43.82712069	44.0906887	0.7076316577	0.7070753708	0.7081879446	70.7095101	6	4	512	2048	39826432	3.998494751	0.8356347857	0.2713382009	0.2533457729	0.7475669736	1.500	0.250	base	10	2	51.200	85.333	128.000	21688	715548	32.99280708	341.333	512.000
eng_wiki	ita_wiki	4000	bpe.nof	6_4_512_2048_2	14.59292767	14.54027864	14.6455767	46.28171885	46.22503781	46.33839988	43.0938577	43.03814414	43.14957125	0.6293945769	0.6284659973	0.6303231566	62.86201094	6	4	512	2048	39826432	4.117579	0.8605218862	0.2511128353	0.2437208296	0.3222695296	1.500	0.250	base	10	2	51.200	85.333	128.000	50000	1723391	34.46782	341.333	512.000
eng	akk	4000	bpe.nof	8_6_256_256_2	23.56708	23.38778026	23.74637975	14.40840203	14.30009601	14.51670805	13.8362234	13.73741692	13.93502987	0.8795033317	0.8784359959	0.8805706675	87.95475923	8	6	256	256	9170944	22157470.22	0.63649973	0.1408181491	0.3803349074	-25.17484664	1.333	1.000	small	14	2	18.286	32.000	42.667	45270	630535	13.92831898	32.000	42.667
deu	dsb	4000	bpe.nof	16_2_256_256_2	24.95764306	24.85048406	25.06480205	37.98192223	37.87146924	38.09237522	37.76286017	37.6552703	37.87045004	0.5978133027	0.5970831994	0.598543406	59.77249506	16	2	256	256	9699328	3.284320671	0.2553669596	0.7575165592	0.8577666057	-4.882199592	8.000	1.000	small	18	14	14.222	16.000	128.000	40195	1032701	25.69227516	16.000	128.000
eng	akk	4000	bpe.nof	2_4_512_4096_2	31.08255315	30.87513082	31.28997548	42.56813475	42.38104121	42.75522829	36.33774169	36.17479284	36.50069054	0.9338622281	0.9333397416	0.9343847147	93.35676957	2	4	512	4096	39812096	242933705.7	0.9352558254	0.283136094	0.2588415483	0.8643127273	0.500	0.125	base	6	-2	85.333	256.000	128.000	45270	630535	13.92831898	2048.000	1024.000
deu	dsb	4000	bpe.nof	2_4_512_4096_2	29.42574021	29.31547027	29.53601015	46.95698705	46.84515978	47.06881432	46.12798613	46.02004355	46.23592871	0.6409900279	0.6402643591	0.6417156968	64.0899807	2	4	512	4096	39812096	4.057927558	0.847841791	0.2820754568	0.2583562789	0.9343450667	0.500	0.125	base	6	-2	85.333	256.000	128.000	40195	1032701	25.69227516	2048.000	1024.000
eng	akk	4000	bpe.nof	8_6_512_1024_2	30.05841965	29.84504036	30.27179895	40.83895573	40.65151436	41.02639709	34.99062304	34.82777235	35.15347374	0.9343165139	0.9337917095	0.9348413183	93.40852365	8	6	512	1024	39844864	248431912.9	0.9756582482	0.2603861892	0.2481228097	0.4547600291	1.333	0.500	base	14	2	36.571	64.000	85.333	45270	630535	13.92831898	128.000	170.667
eng_wiki	ita_wiki	4000	bpe.nof	8_6_512_1024_2	13.9874265	13.93523753	14.03961547	45.65024359	45.59218165	45.70830554	42.3920646	42.33486592	42.44926328	0.6175614257	0.6166430448	0.6184798066	61.72838854	8	6	512	1024	39844864	4.175116568	0.872829165	0.2441941199	0.2402842576	0.1728163365	1.333	0.500	base	14	2	36.571	64.000	85.333	50000	1723391	34.46782	128.000	170.667
eng	mni	4000	bpe.nof	2_4_512_4096_2	20.97069696	20.81050463	21.13088929	47.44931839	47.31393773	47.58469905	43.82843505	43.68957752	43.96729259	0.7039941413	0.7033754634	0.7046128191	70.3619701	2	4	512	4096	39812096	4.01582274	0.8390446344	0.2690403848	0.2523161843	0.6979601195	0.500	0.125	base	6	-2	85.333	256.000	128.000	21688	715548	32.99280708	2048.000	1024.000
deu	dsb	4000	bpe.nof	8_6_512_1024_2	30.38196736	30.26091166	30.50302307	46.90893937	46.79015176	47.02772698	46.13957765	46.0239882	46.2551671	0.6397488073	0.639004595	0.6404930195	63.93646114	8	6	512	1024	39844864	4.063086714	0.8494087595	0.281266996	0.2578796695	0.9222164223	1.333	0.500	base	14	2	36.571	64.000	85.333	40195	1032701	25.69227516	128.000	170.667
eng	mni	4000	bpe.nof	6_12_512_256_2	20.81871369	20.66137799	20.97604939	48.01706297	47.88431289	48.14981305	44.2391882	44.10235871	44.37601769	0.7089459358	0.7083683525	0.7095235191	70.88009059	6	12	512	256	40396288	3.985720548	0.8412902727	0.2715327929	0.2516426821	0.8202700076	0.500	2.000	base	18	-6	28.444	85.333	42.667	21688	715548	32.99280708	42.667	21.333
eng_wiki	ita_wiki	4000	bpe.nof	6_12_512_256_2	13.54365478	13.48696449	13.60034507	45.6249699	45.56519397	45.68474584	42.27739144	42.21792248	42.3368604	0.6128949466	0.6120627614	0.6137271319	61.26174323	6	12	512	256	40396288	4.194689771	0.8853986772	0.2405941562	0.2368730758	0.1645632649	0.500	2.000	base	18	-6	28.444	85.333	42.667	50000	1723391	34.46782	42.667	21.333
eng	mni	4000	bpe.nof	8_6_512_1024_2	20.32085212	20.165516	20.47618825	47.28639275	47.15377353	47.41901196	43.49768618	43.3615603	43.63381205	0.70558106	0.7050260021	0.706136118	70.53928475	8	6	512	1024	39844864	4.030654006	0.8426285382	0.266976222	0.2512430223	0.6588644756	1.333	0.500	base	14	2	36.571	64.000	85.333	21688	715548	32.99280708	128.000	170.667
